IMU_yaw,IMU_pitch,IMU_roll,IMU_total_av,IMU_total_acc,Baro_press,Baro_alt,GPS_lat,GPS_lon,GPS_alt,GPS_sat,GPS_vel,battV,battI,FSW_status

0.0,0.0,0.0,0.0,0.0,98877.5390625,-0.193695068359375,49.23805236816406,16.555898666381836,265.5,7,0.005166666582226753,0.0,0.0,4

0.0,0.0,0.0,0.0,0.0,98872.5703125,0.3607940673828125,49.23805236816406,16.555898666381836,265.5,7,0.005166666582226753,0.0,0.0,4

0.0,0.0,0.0,0.0,0.0,98868.6484375,0.3939208984375,49.23805236816406,16.555898666381836,265.5,7,0.005166666582226753,0.0,0.0,4

0.0,0.0,0.0,0.0,0.0,98873.09375,0.604583740234375,49.23805236816406,16.555898666381836,265.5,7,0.005166666582226753,0.0,0.0,4

0.0,0.0,0.0,0.0,0.0,98874.53125,0.227630615234375,49.23805236816406,16.555898666381836,265.5,7,0.005166666582226753,0.0,0.0,4

0.0,0.0,0.0,0.0,0.0,98870.21875,0.5601959228515625,49.23805236816406,16.5559024810791,265.5,7,0.00566666666418314,0.0,0.0,4

0.0,0.0,0.0,0.0,0.0,98872.703125,0.682098388671875,49.23805236816406,16.5559024810791,265.5,7,0.00566666666418314,0.0,0.0,4

0.0,0.0,0.0,0.0,0.0,98864.7265625,0.6377105712890625,49.23805236816406,16.5559024810791,265.5,7,0.00566666666418314,0.0,0.0,4

0.0,0.0,0.0,0.0,0.0,98859.890625,-0.0724639892578125,49.23805236816406,16.5559024810791,265.5,7,0.00566666666418314,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98844.734375,0.682098388671875,49.23805236816406,16.5559024810791,265.5,7,0.00566666666418314,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98832.4453125,4.2960205078125,49.23805236816406,16.5559024810791,265.5,7,0.00566666666418314,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98785.90625,5.58245849609375,49.23805236816406,16.5559024810791,265.5,7,0.00566666666418314,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98644.2109375,10.08660888671875,49.23805236816406,16.555908203125,265.5,7,0.0063333334401249886,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98581.9921875,22.3978271484375,49.23805236816406,16.555908203125,265.5,7,0.0063333334401249886,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98505.9140625,29.153152465820312,49.23805236816406,16.555908203125,265.5,7,0.0063333334401249886,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98414.2890625,37.203948974609375,49.23805236816406,16.555908203125,265.5,7,0.0063333334401249886,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98324.1015625,46.05015563964844,49.23805236816406,16.555908203125,265.5,7,0.0063333334401249886,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98215.2265625,54.0794677734375,49.23805236816406,16.555908203125,265.5,7,0.0063333334401249886,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,98095.640625,64.52386474609375,49.23805236816406,16.555908203125,265.5,7,0.0063333334401249886,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,97782.78125,68.29351806640625,49.23805618286133,16.55591583251953,265.5,7,0.009499999694526196,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,97657.328125,102.37142944335938,49.23805618286133,16.55591583251953,265.5,7,0.009499999694526196,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,97501.546875,115.38458251953125,49.23805618286133,16.55591583251953,265.5,7,0.009499999694526196,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,97327.5078125,130.82373046875,49.23805618286133,16.55591583251953,265.5,7,0.009499999694526196,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,97155.5390625,144.2093505859375,49.23805618286133,16.55591583251953,265.5,7,0.009499999694526196,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,96979.65625,156.65255737304688,49.23805618286133,16.55591583251953,265.5,7,0.009499999694526196,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,96837.09375,172.56182861328125,49.23805618286133,16.55591583251953,265.5,7,0.009499999694526196,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,96307.9453125,180.088134765625,49.238059997558594,16.55592918395996,265.5,7,0.013000000268220901,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,96138.90625,229.32489013671875,49.238059997558594,16.55592918395996,265.5,7,0.013000000268220901,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,95985.546875,243.731689453125,49.238059997558594,16.55592918395996,265.5,7,0.013000000268220901,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,95879.8125,257.52154541015625,49.238059997558594,16.55592918395996,265.5,7,0.013000000268220901,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,95664.1875,272.47869873046875,49.238059997558594,16.55592918395996,265.5,7,0.013000000268220901,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,95430.078125,291.0459289550781,49.238059997558594,16.55592918395996,265.5,7,0.013000000268220901,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,95320.796875,306.4886474609375,49.238059997558594,16.55592918395996,265.5,7,0.013000000268220901,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,94712.4453125,354.7397155761719,49.23806381225586,16.555950164794922,265.5,7,0.019500000402331352,0.0,0.0,5

0.0,0.0,0.0,0.0,0.0,94557.1328125,370.1363830566406,49.23806381225586,16.555950164794922,265.5,7,0.019500000402331352,0.0,0.0,5

