timestamp,fsw_state_state,bmp_data_pressure,bmp_data_temperature,pos_data_abs_altitude,pos_data_rel_altitude,gps_data_is_connected,gps_data_num_fixed_satellites,gps_data_latitude,gps_data_longitude
4539,4,93633.5546875,40.67758560180664,727.5844116210938,534.6353149414062,1,16,49.23872756958008,16.5566520690918
4599,4,93555.2734375,40.646915435791016,734.6213989257812,541.6723022460938,1,16,49.23872756958008,16.5566520690918
4639,9,93507.6875,40.623321533203125,739.8616333007812,546.9125366210938,1,16,49.2387466430664,16.556671142578125
4699,9,93437,40.5997314453125,746.7278442382812,553.7787475585938,1,16,49.2387466430664,16.556671142578125
4739,9,93382.9140625,40.585575103759766,751.8392944335938,558.8901977539062,1,16,49.2387466430664,16.556671142578125
4779,9,93317.3203125,40.5572624206543,756.884521484375,563.9354248046875,1,15,49.23878860473633,16.55670166015625
4819,9,93264.8984375,40.53367233276367,761.9082641601562,568.9591674804688,1,15,49.23878860473633,16.55670166015625
4839,9,93235.4296875,40.52659225463867,764.455810546875,571.5067138671875,1,15,49.23878860473633,16.55670166015625
4879,9,93200.09375,40.51479721069336,769.292724609375,576.3436279296875,1,15,49.23878860473633,16.55670166015625
4919,9,93146.9609375,40.4935646057129,774.132568359375,581.1834716796875,1,15,49.23878860473633,16.55670166015625
4979,9,93068.734375,40.462894439697266,781.2069091796875,588.2578125,1,15,49.23882293701172,16.556730270385742
5019,9,93031.203125,40.4463768005371,785.8389282226562,592.8898315429688,1,15,49.23882293701172,16.556730270385742
5059,9,93002.1796875,40.42986297607422,789.871826171875,596.9227294921875,1,15,49.23882293701172,16.556730270385742
5079,9,92954.921875,40.41334915161133,792.5824584960938,599.6333618164062,1,16,49.23884201049805,16.5567455291748
5119,9,92911.3203125,40.39683151245117,797.1292114257812,604.1801147460938,1,16,49.23884201049805,16.5567455291748
5159,9,92868.875,40.36852264404297,801.3651123046875,608.416015625,1,16,49.23884201049805,16.5567455291748
5279,9,92728.359375,40.31897735595703,814.9554443359375,622.00634765625,1,16,49.23887634277344,16.55677604675293
5319,9,92667.3125,40.31189727783203,819.589111328125,626.6400146484375,1,16,49.23887634277344,16.55677604675293
5359,9,92627.875,40.2977409362793,823.7737426757812,630.8246459960938,1,16,49.23887634277344,16.55677604675293
5419,9,92550.9765625,40.278865814208984,830.792724609375,637.8436279296875,1,16,49.238895416259766,16.556791305541992
5459,9,92516.40625,40.26470947265625,834.7718505859375,641.82275390625,1,16,49.238895416259766,16.556791305541992
5479,9,92496.2421875,40.26707077026367,837.3035278320312,644.3544311523438,1,16,49.2389144897461,16.55680274963379
5519,9,92439.5234375,40.24583435058594,841.734375,648.7852783203125,1,16,49.2389144897461,16.55680274963379
5579,9,92367.1796875,40.20808792114258,848.6058959960938,655.6567993164062,1,16,49.238929748535156,16.55681800842285
5619,9,92327.484375,40.186851501464844,853.1113891601562,660.1622924804688,1,16,49.238929748535156,16.55681800842285
5659,9,92285.5859375,40.1609001159668,857.081787109375,664.1326904296875,1,16,49.238929748535156,16.55681800842285
5699,9,92236.671875,40.142024993896484,861.376220703125,668.4271240234375,1,16,49.238948822021484,16.55683135986328
5719,9,92222.09375,40.142024993896484,863.8436889648438,670.8945922851562,1,16,49.238948822021484,16.55683135986328
5819,9,92111.140625,40.09955596923828,874.3912353515625,681.442138671875,1,16,49.23896789550781,16.556848526000977
5859,9,92072.1796875,40.075958251953125,878.1561889648438,685.2070922851562,1,16,49.23896789550781,16.556848526000977
5919,9,92010.90625,40.0618019104004,884.49609375,691.5469970703125,1,16,49.23898696899414,16.556861877441406
5959,9,91951.8046875,40.04056930541992,888.3344116210938,695.3853149414062,1,16,49.23898696899414,16.556861877441406
6019,9,91909.2578125,40.028770446777344,894.5224609375,701.5733642578125,1,16,49.2390022277832,16.5568790435791
6059,9,91853.578125,40.01225662231445,898.2864990234375,705.33740234375,1,16,49.2390022277832,16.5568790435791
6119,9,91798.6171875,39.99338150024414,904.5682983398438,711.6192016601562,1,16,49.2390022277832,16.5568790435791
6159,9,91765.796875,39.98158264160156,908.1138916015625,715.164794921875,1,16,49.2390022277832,16.5568790435791
6319,9,91592.9921875,39.93911361694336,924.5030517578125,731.553955078125,1,16,49.23905563354492,16.55691909790039
6419,9,91490.8984375,39.9037208557129,934.2981567382812,741.3490600585938,1,16,49.239070892333984,16.556930541992188
6459,9,91451.53125,39.889564514160156,937.7500610351562,744.8009643554688,1,16,49.239070892333984,16.556930541992188
6519,9,91392.7265625,39.87540817260742,943.9591064453125,751.010009765625,1,16,49.23908996582031,16.55694580078125
6559,9,91349.2265625,39.858890533447266,947.4486694335938,754.4995727539062,1,16,49.23908996582031,16.55694580078125
6619,9,91277.2890625,39.828216552734375,953.44775390625,760.4986572265625,1,16,49.23910903930664,16.55695915222168
6659,9,91257.609375,39.821136474609375,956.8988037109375,763.94970703125,1,16,49.23910903930664,16.55695915222168
6739,9,91192.9375,39.77866744995117,964.3651123046875,771.416015625,1,14,49.23912811279297,16.556974411010742
6799,9,91135.609375,39.75979232788086,969.4637451171875,776.5146484375,1,14,49.23912811279297,16.556974411010742
6839,9,91092.6171875,39.74563217163086,973.4238891601562,780.4747924804688,1,15,49.23914337158203,16.556987762451172
6879,9,91055.4609375,39.7361946105957,976.9915771484375,784.04248046875,1,15,49.23916244506836,16.55699920654297
6899,9,91037,39.72911834716797,978.4912719726562,785.5421752929688,1,15,49.23916244506836,16.55699920654297
6939,9,90997.421875,39.71967697143555,982.451171875,789.5020751953125,1,15,49.23916244506836,16.55699920654297
6979,9,90963.671875,39.71495819091797,986.0403442382812,793.0912475585938,1,15,49.23917770385742,16.55701446533203
6999,9,90940.359375,39.707881927490234,987.568115234375,794.6190185546875,1,15,49.23917770385742,16.55701446533203
7039,9,90895.4375,39.696083068847656,991.3297119140625,798.380615234375,1,15,49.23917770385742,16.55701446533203
7079,9,90867.2734375,39.689002990722656,995.0731811523438,802.1240844726562,1,15,49.23919677734375,16.55702781677246
7099,9,90861.1875,39.677207946777344,996.466552734375,803.5174560546875,1,15,49.23919677734375,16.55702781677246
7139,9,90815.078125,39.677207946777344,1000.400634765625,807.4515380859375,1,15,49.23919677734375,16.55702781677246
7179,9,90779.6171875,39.658329010009766,1003.8926391601562,810.9435424804688,1,15,49.23921203613281,16.557039260864258
7219,9,90748.3046875,39.65361022949219,1007.4329223632812,814.4838256835938,1,15,49.23921203613281,16.557039260864258
7239,9,90722.828125,39.65361022949219,1009.2205810546875,816.271484375,1,15,49.23921203613281,16.557039260864258
